Track,Album,Album Disc Number,Album Label,Album Track Number,Dates,District/Neighborhood,Holiday/Special Event,Land,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
 Taking a Stand,Captain America: The Winter Soldier ,,,,"May 27, 2017 → September 10, 2017",,,Hollywood Land,Summer of Heroes,,, 00:02:00.787,Henry Jackman,6,
 Thor: The Dark World,Thor: The Dark World ,,,,"May 27, 2017 → September 10, 2017",,,Hollywood Land,Summer of Heroes,,, 00:00:36.963,Brian Tyler,18,
  Living Thing,,,,,"May 27, 2017",,,Hollywood Land,Mission: BREAKOUT! (exterior),,,,ELO,14,
  Boys are Back in Town,,,,,"May 27, 2017",,,Hollywood Land,Mission: BREAKOUT! (exterior),,,,Thin Lizzy,13,
  Southern Nights,,,,,"May 27, 2017",,,Hollywood Land,Mission: BREAKOUT! (exterior),,,,Glen Campbell,8,
  Magic,,,,,"May 27, 2017",,,Hollywood Land,Mission: BREAKOUT! (exterior),,,,Pilot,4,
  Walk Away,,,,,"May 27, 2017",,,Hollywood Land,Mission: BREAKOUT! (exterior),,,,James Gang,5,
  Lake Shore Drive,,,,,"May 27, 2017",,,Hollywood Land,Mission: BREAKOUT! (exterior),,,,Aliotta Haynes Jeremiah,7,
  Mr. Blue Sky,,,,,"May 27, 2017",,,Hollywood Land,Mission: BREAKOUT! (exterior),"This loop played near the exterior attraction sign for the ‘Guardians of the Galaxy – Mission: BREAKOUT!' attraction. This is a preliminary tracklist compiled by CThaddeus based on a reference recording by pixelated. See MouseBits, https://mousebits.com/smf/index.php?topic=9565.msg90433#msg90433 (2017).",00:57:46.019,Preceded by a ~0.38-0.66 secs silent gap,ELO,1,
  Rock and Roll All Nite,,,,,"May 27, 2017",,,Hollywood Land,Mission: BREAKOUT! (exterior),,,,KISS,17,
  My Sweet Lord,All Things Must Pass,,,,"May 27, 2017",,,Hollywood Land,Mission: BREAKOUT! (exterior),,,,George Harrison,9,
  Hooked on a Feeling,,,,,"May 27, 2017",,,Hollywood Land,Mission: BREAKOUT! (exterior),,,,Blue Suede,3,
  Don't Stop Me Now,,,,,"May 27, 2017",,,Hollywood Land,Mission: BREAKOUT! (exterior),,,,Queen,6,
  Spirit in the Sky,,,,,"May 27, 2017",,,Hollywood Land,Mission: BREAKOUT! (exterior),,,,Norman Greenbaum,12,
  Still the One,,,,,"May 27, 2017",,,Hollywood Land,Mission: BREAKOUT! (exterior),,,,Orleans,16,
  Best of My Love,,,,,"May 27, 2017",,,Hollywood Land,Mission: BREAKOUT! (exterior),,,,The Emotions,2,
  Surrender,,,,,"May 27, 2017",,,Hollywood Land,Mission: BREAKOUT! (exterior),,,,Cheap Trick,11,
  Brandy (You're a Fine Girl),,,,,"May 27, 2017",,,Hollywood Land,Mission: BREAKOUT! (exterior),,,,Looking Glass,10,
  O-o-h Child,,,,,"May 27, 2017",,,Hollywood Land,Mission: BREAKOUT! (exterior),,,,The Five Stairsteps,15,
Faces of the Heart [General Hospital Opening Theme],The Music of General Hospital,,Walt Disney Records,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,"This loop played throughout all areas of the ABC Soap Opera Bistro while in operation from February 8, 2001 until November 3, 2002. The loop included themes from the ABC Soap Operas Port Charles, All My Children, One Life to Live, and General Hospital. See https://mousebits.com/smf/index.php?topic=7104.msg98932#msg98932 (MouseBits; 2012). The actual BGM loop was compiled by Greg Lhotka in 1999 according to a demo imagineering CD. No live reference recording is available; this tracklist was compiled based on a presumed source track in limited circulation, checked against YouTube footage.",00:52:34.495,0:34.546,David Koz,1,Preceded by 00.36 second of silence
Kevin & Lucy Love Theme [Port Charles],Unreleased,,,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,2:24.113,,4,
Street Scene [All My Children],Unreleased,,,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,2:08.288,,21,
All My Children Theme (1995 sax arrangement) [Opening Theme],Unreleased,,,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,0:42.309,David Benoit,7,
Robin and Stone's Theme,The Music of General Hospital,,Walt Disney Records,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,2:16.671,Marty Davich,5,
Romance [All My Children],Unreleased,,,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,2:23.989,,16,
One Life to Live (2000) [Closing Theme],Unreleased,,,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,1:36.661,,22,
General Hospital (Autumn Breeze),Hits of the Soaps,,,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,2:07.826,The Hollywood Television Orchestra,12,
One Life to Live Theme (2000) [Opening Theme],Unreleased,,,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,0:31.661,,6,
Kevin & Lucy Love Theme [Port Charles],Unreleased,,,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,2:23.831,,8,Repeated; same as track 4
One Life to Live,Hits of the Soaps,,IndieBlu,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,2:37.125,The Hollywood Television Orchestra,2,
Untitled [One Life to Live],Unreleased,,,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,2:16.323,,17,Untitled according to demo CD
Frank & Julie [Port Charles],Unreleased,,,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,2:24.022,,11,
Funky Dark [All My Children],Unreleased,,,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,2:09.679,,14,
Robin and Stone's Theme,The Music of General Hospital,,,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,2:16.299,Marty Davich,23,
Faces of the Heart [Closing Theme],The Music of General Hospital,,Walt Disney Records,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,3:40.513,David Koz,15,
Latin Sex [One Life to Live],Unreleased,,,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,2:03.347,,13,
Kevin & Eve [Port Charles],Unreleased,,,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,2:40.590,,19,
All My Children,Hits of the Soaps,,IndieBlu,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,2:55.031,The Hollywood Television Orchestra,3,
Luke and Laura's Theme,The Music of General Hospital,,Walt Disney Records,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,3:15.095,Marty Davich,20,
All My Children (1995 sax) [End Titles],Unreleased,,,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,2:01.243,David Benoit,18,
Funky Tension [All My Children],Unreleased,,,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,2:08.671,,24,
Nasty Tension [All My Children],Unreleased,,,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,2:25.783,,10,
Untitled [One Life to Live],Unreleased,,,,"February 8, 2001 → November 3, 2002",,,Hollywood Pictures Backlot,ABC Soap Opera Bistro Central,,,2:30.509,,9,Untitled according to demo CD
It's Breezy,MEOS-3 - Media Music Release No. 12 - No. 3 - Musical Weather Report [Reel M-127],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],"This loop played in the indoor and outdoor queue area of Superstar Limo. Listing compiled by Glen Barker, SoCalRyan, and SSrustworthy. See https://librarymusicthemes.com/index.php?topic=1399.new#new (2018).
It was also posted on the https://pbarrie.libsyn.com/podcast/wttm-cvs-ss48-cheesy-awesome-the-superstar-limo-background-music-loop. See Magic Music, Re:https://community.magicmusic.net/threads/buddy-baker-monorail-theme-fan.1774/#post-12120 (2004). Also see MouseBits, https://mousebits.com/smf/index.php?topic=9999.msg98848#msg98848 (2022).",1:04:30.068,00:02:20.065,Jan Kimberly,1,
Orchestra & Girls #8,MECS-2 - Media Music Release No. 6 - No. 2 - Up Up & Go Girls [Reel X-138],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:00.190,Henrik Nielsen,3,
Beat Man,MEMS-7 - Media Music Release No. 3 - No. 7 - Beat Music [Reel X-105],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:00.837,Henrik Nielsen,4,
Tijuana Fiesta,MEM-2 - Media Music Release No. 3 - No. 2 - Bossa Nova - Tijuana Fiesta [Reel X-104],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:00:56.713,Henrik Nielsen,2,
Curtain Time,Hi-Q Reel L-147,,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:42.097,Ib Glindemann,7,Released as “Miss April” on 50 Years on Stage by Ib Glindemann but with an extended outro
It's Windy,MEOS-3 - Media Music Release No. 12 - No. 3 - Musical Weather Report [Reel M-128],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:02:23.177,Jan Kimberly,5,
Samba Ramba,PSE-51 - Media Music The Professional - No. 51 - Vintage,,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:02:00.378,Ole Georg,8,Uploaded to Ole Georg’s Soundcloud
Orchestra & Voices #3,"MEBS-2 - Record No. 2 - Media Music Release No. 5 - No. 2 - Up, Up, And Go! [Reel X-119]",,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:00:57.626,Dan Kirsten,6,Fade in
Orchestra & Girls #1,MECS-2 - Media Music Release No. 6 - No. 2 - Up Up & Go Girls [Reel X-137],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:00:59.854,Henrik Nielsen,9,
Resort Life,MEBS-7 - Media Music Release No. 5 - No. 7 - Holiday Strings/Fashion [Reel M-108],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:02:19.756,Dan Kirsten,10,
Holidays,MMUS-1 - Media Music Release No. 1 - No. 1 - Domesticated Western World [Reel M-61],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:04.104,Ib Glindemann,15,Fade in
Outdoor Life #2,MEGS-8 - Media Music Release No. 7 - No. 8 - Outdoor Life/Supersoundic Strings [Reel L-163],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:38.497,Henrik Nielsen,12,
Tijuana,Omnimusic OM 149 - Time Frames,,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:45.363,Michael Carubia,13,
Vast Resources,MEOS-4 - Media Music Release No. 12 - No. 4 - Modern Life-Styles [Reel L-178],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:02:16.822,Jan Kimberly,16,Speed altered; early fade out
Movie-of-the-Week Open,Media Music Release No. 6 - No. 10 - Open and Close Themes [Reel L-158],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:05.827,Erik Markman,11,Edited to remove musical introduction
Orchestra & Voices #2,"MEBS-2 - Media Music Release No. 5 - No. 2 - Up, Up, And Go! [Reel X-119]",,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:00:59.332,Dan Kirsten,14,
Bright Holiday Open AKA Holiday Signature (1940's),MECS-10 - Media Music Release No. 6 - No. 10 - Open and Close Themes [Reel L-157],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:00:56.946,Henrik Nielsen,21,
Optimist People #7,MEKS-4 - Media Music Release No. 10 - No. 4 - Commercial Lifestyles/Moog [Reel X-188],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:02:20.621,Robert Ascot,19,
Today's Action #10,MEHS-1 - Media Music Release No. 8 - No. 1 - Today's Action [Reel X-168],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:48.671,Neil Amsterdam,22,
Rio Fire,MEMS-2 - Media Music Release No. 3 - No. 2 - Bossa Nova - Tijuana Fiesta [Reel X-103],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:00.995,Henrik Nielsen,20,
Window Shopping,MELS-9 - Media Music Release No. 11 - No. 9 - Then & Now/Here & There [Reel L-176],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:45.166,Robert Ascot,25,
Swingin’ Domestic AKA Swing Domestic (1940's),Hi-Q Reel L-143,,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:04.719,Ib Glindemann,18,
Domestic Noon AKA Light Domestic (1940’s),MMUS-1 - Media Music Release No. 1 - No. 1 - Domesticated Western World [Reel L- 143],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:21.814,Ib Glindemann,23,
Bossa & Soul,MEMS-2 - Media Music Release No. 3 - No. 2 - Bossa Nova - Tijuana Fiesta [Reel X-103],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:00:58.693,Henrik Nielsen,17,
Sunshine Smile,Hi-Q Reel X-79,,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:00:59.137,Ib Glindemann,24,
Busy Schedule,MEBS-7 - Media Music Release No. 5 - No. 7 - Holiday Strings/Fashion [Reel M-107],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:49.678,Dan Kirsten,30,
Carnival,Media Music Release No. 3 - No. 2 - Bossa Nova - Tijuana Fiesta [Reel X-104],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:00:59.592,Henrik Nielsen,28,
Busman's Holiday,MEMS-3 - Media Music Release No. 3 - No. 3 - Holiday Strings [Reel L-155],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:01.332,Henrik Nielsen,27,
Runaway Strings,MEMS-3 - Media Music Release No. 3 - No. 3 - Holiday Strings [Reel L-155],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:00:53.626,Henrik Nielsen,26,Starts later in track to omit musical introduction
Outdoor Life #1,MEGS-8 - Media Music Release No. 7 - No. 8 - Outdoor Life/Supersoundic Strings [Reel L-163],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:27.645,Henrik Nielsen,29,fade in late; fade out early; edited
Raindrops In Motion,MELS-5 - Media Music Release No. 11 - No. 5 - Contempo/Nostalgia [Reel L-170],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:45.803,Tom Elliot,31,
Latin Happening,MEDS-5 - Media Music Release No. 2 - No. 5 - Latin Jazz/Cocktail Combos [Reel X-61],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:38.390,Henrik Nielsen,32,
Sunshine Patrol,MEMS-3 - Record No. 3 - Media Music Release No. 3 - No. 3 - Holiday Strings [Reel L-155],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:00.369,Henrik Nielsen,33,
Neutral Strings #2,MEHS-7 - Media Music Release No. 8 - No. 7 - Neutral Strings in Motion [Reel L-99],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:29.866,Neil Amsterdam,35,Fade in late; fade out early; edited
Show Music #3 AKA Showtime #9,MEHS-3 - Media Music Release No. 8 - No. 3 - Big Band Era/Show Music [Reel X-164],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:02.062,Neil Amsterdam,37,
Flower Children,MEM-2 - Media Music Release No. 4 - No. 2 - Beat Music [Reel X-114],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:00:58.642,Dan Kirsten,36,
Trade Empire,MEOS-4 - Media Music Release No. 12 - No. 4 - Modern Life-Styles [Reel L-177],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:50.910,Jan Kimberly,34,
Bull Market,MEOS-4 - Media Music Release No. 12 - No. 4 - Modern Life-Styles [Reel L-178],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:02:16.768,Jan Kimberly,38,
"Bright Latin Rhythm (""Meringue"") AKA Promenade Merengue",OGM Premium Archives 25 [Reel X-38],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:02:12.380,Spencer Moore AKA Stan Livingston,39,Uploaded as Promenade Merengue to Ole Georg’s Soundcloud
March AKA A Year in Harmony #3,Media Music Release No. 11 - No. 1 - The Year In Harmony [Reel M-123],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:43.676,Tom Elliot,40,
November AKA A Year in Harmony #4,Media Music Release No. 11 - No. 1 - The Year In Harmony [Reel M-124],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:55.275,Tom Elliot,42,
Happy Holiday,Media Music Release No. 5 - No. 7 - Holiday Strings/Fashion [Reel M-107],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:49.736,Dan Kirsten,41,
On A Beautiful Day,MELS-5 - Media Music Release No. 11 - No. 5 - Contempo/Nostalgia [Reel L-169],,,,,,,Hollywood Pictures Backlot,Superstar Limo Queue [REF],,,00:01:46.531,Tom Elliot,43,
Santa Barbara,"Nights of Fire!, track 1 ",,,,"April 24, 2009 → June 7, 2009",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2009 [REF],"This loop played throughout Sunshine Plaza, Hollywood Pictures Backlot and Pacific Wharf, replacing those areas' normal loops during the 2009 iteration of the Food and Wine Festival BGM. Tracklist compiled by pixelated and C33 based pixelated’s reference recording. C33 notes: ""Except for the few second pause between the last track and the first track when the loop restarts, each track almost always begins over the ending of the previous one, with no gaps in between. In many cases the track will start to fade out before the next track begins and some of the tracks are edited to be shorter in length (sometimes significantly so), as indicated. The transitions are in some cases fairly jarring.” See MouseBits, https://forums.mousebits.com/threads/disneys-california-food-and-wine-festival-loop-playlist-2009.4884/. ",52:50.796, 4:45.802,Benise,1,album track is around 0.103 secs. faster than the recording
Kodo-Inside the Sun Remix,"II, track 12 ",,,,"April 24, 2009 → June 7, 2009",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2009 [REF],,, 4:05.422,Yoshida Brothers,13,
Jig Medley: Brother John's Jig/Kinyon's No,"Celtic Dance, track 8 ",,,,"April 24, 2009 → June 7, 2009",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2009 [REF],,, 3:31.790,John Whelan,14,
Picking Flowers,"Music from the Tea Lands, track 2 ",,,,"April 24, 2009 → June 7, 2009",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2009 [REF],,, 1:56.214,Lei Qiang,5,album track is around 0.071 secs. faster than the recording
Salsa Salsa,"Nights of Fire!, track 3 ",,,,"April 24, 2009 → June 7, 2009",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2009 [REF],,, 5:00.609,Benise,10,
Miracle,"Eastern Energy, track 1 ",,,,"April 24, 2009 → June 7, 2009",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2009 [REF],,, 2:41.325,Twelve Girls Band,2,album track is around 0.100 secs. faster than the recording
Caminos,"Caminos, track 1 ",,,,"April 24, 2009 → June 7, 2009",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2009 [REF],,, 3:18.494,Alturas,15,
Morea,"Caminos, track 2 ",,,,"April 24, 2009 → June 7, 2009",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2009 [REF],,, 2:57.175,Alturas,12,
The £5 Flute/Donald McLennan's Exercise/What Pain Have I Endured Since Last Year,"Celtic Dance, track 4 ",,,,"April 24, 2009 → June 7, 2009",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2009 [REF],,, 2:58.354,Old Blind Dogs,9,
Freedom,"Eastern Energy, track 5 ",,,,"April 24, 2009 → June 7, 2009",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2009 [REF],,, 3:47.320,Twelve Girls Band,8,
Calliope House/The Cowboy Jig,"Celtic Dance, track 3",,,,"April 24, 2009 → June 7, 2009",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2009 [REF],,, 3:32.420,"Alasdair Fraser, Paul Machlis",3,"loop track stops at 3:32.861 of album track, album track is around 0.129 secs. faster than the recording"
Fantasy,"Journey, track 2 ",,,,"April 24, 2009 → June 7, 2009",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2009 [REF],,, 3:17.256,Ali Akbar Khan,7,
Ya Rayah (Party),"The Definitive Collection, track 1",,,,"April 24, 2009 → June 7, 2009",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2009 [REF],,, 1:22.724,Rachid Taha,4,"loop track stops at 1:24.012 of album track, album track is around 0.050 secs. faster than the recording"
Awakenings,"Caminos, track 6 ",,,,"April 24, 2009 → June 7, 2009",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2009 [REF],,, 3:17.466,Alturas,6,
Journey,"Journey, track 6 ",,,,"April 24, 2009 → June 7, 2009",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2009 [REF],,, 3:31.769,Ali Akbar Khan,16,
The Empress,"Music from the Tea Lands, track 9",,,,"April 24, 2009 → June 7, 2009",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2009 [REF],,, 2:40.288,Ancient Future,11,Playback problem: loop version has a 0.069 sec. silent gap at 1:19.310 and then skips ahead by 1:08.080
 Santa Barbara,"Nights of Fire!, track 1",,,,"April 6, 2010 → May 31, 2010",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2010,"A preliminary tracklist for the 2010 iteration of the Food and Wine Festival BGM. Tracklist compiled by pixelated a based on his reference recording. See MouseBits, https://forums.mousebits.com/threads/new-bgm-for-disneys-california-food-wine-festival.5312/post-40081. ",57:00.161, 4:35.207,Benise,1,Edited
 The Empress,"Music from the Tea Lands, track 9 ",,,,"April 6, 2010 → May 31, 2010",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2010,,, 3:50.389,Ancient Future,2,
 All I See Is You,Greatest Hits ,,,,"April 6, 2010 → May 31, 2010",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2010,,, 3:36.384,Dave Koz,3,
 Morea,"Caminos, track 2 ",,,,"April 6, 2010 → May 31, 2010",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2010,,, 2:57.014,Alturas,5,
 Caminos,"Caminos, track 1 ",,,,"April 6, 2010 → May 31, 2010",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2010,,, 3:18.404,Alturas,12,
 Spring of Dream,Freedom ,,,,"April 6, 2010 → May 31, 2010",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2010,,, 4:44.495,Twelve Girls Band,14,
 Cafe Rio,Full Circle ,,,,"April 6, 2010 → May 31, 2010",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2010,,, 4:02.991,David Benoit,6,
 Beat Street,Full Circle ,,,,"April 6, 2010 → May 31, 2010",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2010,,, 4:05.516,David Benoit,13,
 Life In The Fast Lane,Greatest Hits ,,,,"April 6, 2010 → May 31, 2010",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2010,,, 4:03.304,Dave Koz,11,
 Latin Quarter,Urban Gypsy ,,,,"April 6, 2010 → May 31, 2010",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2010,,, 4:41.995,Marc Antoine,8,
 Ya Rayah (Party),"The Definitive Collection, track 1",,,,"April 6, 2010 → May 31, 2010",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2010,,, 1:05.619,Rachid Taha,9,Edited
 Overland Blues,Yoshida Brothers III,,,,"April 6, 2010 → May 31, 2010",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2010,,, 3:55.615,Yoshida Brothers,4,
 Salsa Salsa,"Nights of Fire!, track 3 ",,,,"April 6, 2010 → May 31, 2010",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2010,,, 4:13.656,Benise,15,
 Drive Time,The Best of David Benoit 1987-1995 ,,,,"April 6, 2010 → May 31, 2010",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2010,,, 4:29.327,David Benoit,10,
 Awakenings,"Caminos, track 6 ",,,,"April 6, 2010 → May 31, 2010",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2010,,, 3:16.643,Alturas,7,
 Big Shot,Global Force ,,,,"April 1, 2016 → May 1, 2016",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2016,"A preliminary tracklist for the 2016 iteration of the Food and Wine Festival BGM. Tracklist compiled by pixelated based on his reference recording. See MouseBits,  https://forums.mousebits.com/threads/dca-food-and-wine-2017-complete-playlist.9515/.",01:00:57.743, 00:04:19.285,3rd Force,1,
 All I See Is You,Saxophonic ,,,,"April 1, 2016 → May 1, 2016",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2016,,, 00:03:31.513,Dave Koz,2,Loop track starts 4-5 secs. into the source track.
 Drive Time,Best Of David Benoit 1987-1995 ,,,,"April 1, 2016 → May 1, 2016",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2016,,, 00:04:28.704,David Benoit,7,
 Cafe Rio,Full Circle ,,,,"April 1, 2016 → May 1, 2016",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2016,,, 00:04:02.358,David Benoit,3,
 Tuesday Swings,Tuesday Swings ,,,,"April 1, 2016 → May 1, 2016",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2016,,, 00:05:33.293,Jazz Funk Soul,10,
 Beat Street,Full Circle ,,,,"April 1, 2016 → May 1, 2016",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2016,,, 00:04:02.848,David Benoit,11,
 Silverado,Silver ,,,,"April 1, 2016 → May 1, 2016",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2016,,, 00:05:52.514,Fourplay,12,
 Drumline,Drumline ,,,,"April 1, 2016 → May 1, 2016",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2016,,, 00:04:07.619,Boney James,4,
 A Little Attitude,Futuresoul ,,,,"April 1, 2016 → May 1, 2016",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2016,,, 00:03:43.882,Boney James,8,Loop track starts 3-5 secs. into the source track.
 We'll Be Together,Global Force ,,,,"April 1, 2016 → May 1, 2016",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2016,,, 00:04:12.025,3rd Force,14,
 Life In The Fast Lane,Life In The Fast Lane ,,,,"April 1, 2016 → May 1, 2016",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2016,,, 00:04:02.022,Dave Koz,9,
 Our Thing,More Serious Business ,,,,"April 1, 2016 → May 1, 2016",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2016,,, 00:03:44.514,Jazz Funk Soul,6,
 You'll Know When You Know,More Serious Business ,,,,"April 1, 2016 → May 1, 2016",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2016,,, 00:04:36.074,Jazz Funk Soul,13,
 Latin Quarter,Urban Gypsy ,,,,"April 1, 2016 → May 1, 2016",,Food and Wine Festival,Performance Corridor,Food and Wine Festival 2016,,, 00:04:41.084,Marc Antoine,5,
