Track,Album,Album Disc Number,Album Label,Album Track Number,Dates,Disney Gallery Location,Holiday/Special Event,Loop,Loop Notes,Loop Total Length,Loop Track Length,Track Artist,Track No.,Track Notes
Mickey Mouse Club March,Unreleased,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,14,Featured in 1992 era USA parks entrance loop
Hi-Diddle-Dee-Dee,Unreleased,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,15,
When You Wish Upon a Star,The Disney Gallery Commemorative Exhibition - Imagineering the Dream,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,16,
Hip Hip Pooh-ray,Unreleased,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,17,Many Adventures of Winnie the Pooh Queue Music
Be Our Guest,Greatest Classic Tracks Ever Made,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,Royal Philharmonic Orchestra,18,Edited to include 00:00 - 01:38
Let's Go Fly a Kite,Unreleased,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,19,
I Wanna Be Like You,"Enchanted Tiki Room:  Get the Fever, Exit Music",,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,20,
Old Betsy,The Disney Gallery Commemorative Exhibition - Imagineering the Dream,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,21,
Belle,Disneyland Forever,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,22,Edited to include 00:25 - End
Colors of the Wind,Magical Musicals,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,Erich Kuznel & the Cincinnati Pops Orchestra,23,Edited to include ~01:40 to End
Little Black Rain Cloud,Unreleased,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,24,Many Adventures of Winnie the Pooh Queue Music
Star Wars Theme,The Disney Gallery Commemorative Exhibition - Imagineering the Dream,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,25,"Edited to exclude 00:00 - ~00:28, fade in"
it's a small world (Disneyland Paris Variation II),Walt Disney and the 1964 World's Fair,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,26,Edited to include ~00:01 - 01:26
Yo Ho (A Pirate's Life for Me) Hornpipe,The Disney Gallery Commemorative Exhibition - Imagineering the Dream,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,27,Edited to include 00:00 - 01:03
Heigh-Ho,Unreleased,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,28,Featured in 1992 era USA parks entrance loop
Ev'rybody Has a Laughing Place,Disneyland Forever OR Walt Disney World Forever,,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,29,
Fantasyland Castle Medley,Official Album of Disneyland & Walt Disney World [1997],,,,,"Main Street U.S.A. (Opera House Lobby), Main Street U.S.A. (storefront)",,"[2009-2010] Enchanting the Classics, [2013] Tiki Tiki Tiki Realms – Celebrating 50 Years of Enchantment [REF], [2014-2015] Mechanical Kingdoms – Steam-Driven Visions of a Victorian Future, [2015-2016] Drawing Disneyland – The Early Years, [2015] Snow Queens – Art of Ice, [2016-2018?] Disney's Steam Trains – A Man & His Passion for the Railroad, [2018-2019] The Art of Mary Poppins Returns (December 2018-2019)",,,,,30,"Edited to include 00:00 - 04:25, fades out"
"Walt Disney’s Opening Day Speech (July 17, 2955)",A Musical History of Disneyland,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.2, [2010] Day One Disneyland","This loop played in the Disney Gallery on Main Street, U.S.A. as part of the “Day One Disneyland” exhibit, which ran from May - December 2010. It was also used in the Main Street Cinema during the 55th celebration, and was noted as playing in Disneyana on MSUSA in 2023 and 2024 for no exhibit in particular. See MouseBits, https://forums.mousebits.com/threads/disneyana-loop-on-main-street-u-s-a.10894/#post-99246 (2023), https://forums.mousebits.com/threads/the-disney-gallery-music-2-0.7840/#post-69937 (2013) and https://forums.mousebits.com/threads/disneyana-loop-on-main-street-u-s-a.10894/ (2025). Tracklist compiled by C33 and wedroy1923 based on an induction recording by C33 and a 2010 live recording by wedroy1923. Verified by SSrustworthy using a live recording of the Disneyana loop in 2023.",00:33:55.353,00:35.209,Walt Disney,1,crossfade with next track around 00:30.099
Area Music: When You Wish Upon A Star,A Musical History of Disneyland,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.2, [2010] Day One Disneyland",,,03:10.762,,2,crossfade with next track around 03:09.851
All Aboard!,A Musical History of Disneyland,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.2, [2010] Day One Disneyland",,,00:19.874,,3,long crossfade around 00:20.041
Meet Me Down On Main Street,A Musical History of Disneyland,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.2, [2010] Day One Disneyland",,,01:50.135,The Mellomen,4,crossfade with next track around 01:50.158
The Market House Party Line (Dinglinger’s Store),Unreleased,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.2, [2010] Day One Disneyland",,,00:21.059,,5,"Note, this is different from the DLF fire conversation. This version on the loop is the same version as on The Disneyland Collection Torrent with some differences in timing and edited silences. Dialogue contains: “Alright now…” until “Hello, Annie?” and cuts."
Minnie’s Yoo Hoo!,A Musical History of Disneyland,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.2, [2010] Day One Disneyland",,,00:39.709,Main Street Saxophone Quartet,6,crossfade around 00:39.543
Disney Medley,A Musical History of Disneyland,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.2, [2010] Day One Disneyland",,,03:05.396,The Disneyland Band,7,edited 00:58.461 to crossfade around 04:03.796
Battle Cry of Freedom [The Blockade House],A Musical History of Disneyland,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.2, [2010] Day One Disneyland",,,01:13.538,Ed Sweeney,8,"next track fades in at 01:13.911, but track doesn’t fade out"
Slue Foot Sue’s Golden Horseshoe Revue,A Musical History of Disneyland,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.2, [2010] Day One Disneyland",,,02:22.692,Betty Taylor,9,crossfade with next track around 02:20.760
The Mark Twain Steamboat (1992 Excursion Edit),A Musical History of Disneyland,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.2, [2010] Day One Disneyland",,,01:12.913,,10,crossfade with next track around 01:28.457
Fantasyland Dark Ride Suite,A Musical History of Disneyland,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.2, [2010] Day One Disneyland",,,07:29.719,,11,edited 02:28.691 to fade out around 09:57.784
"Mickey Mouse Club Theater, ‘3D Glasses Reminder’ (unreleased)",Disneyland Forever,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.2, [2010] Day One Disneyland",,,00:21.854,Jimmy Dodd,12,no fade in and starts when previous track concludes fade; crossfade out at 00:20.851
Flight to the Moon,A Musical History of Disneyland,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.2, [2010] Day One Disneyland",,,00:34.530,,13,"edited to include 00:02.288 to 00:23.958, 07:43.953 to 07:49.051, 07:49.455 to 07:52.909, 07:53.123 to 07:54.210, 07:55.724 to 07:58.236, 07:58.643 to crossfade at 08:00.336; these are mostly silences removed with some dialogue cuts"
"20,000 Leagues Under the Sea Exhibit, ‘Show Narration’ (unreleased) ",Disneyland Forever,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.2, [2010] Day One Disneyland",,,00:48.691,,14,edited 00:50.761 to crossfade at 01:38.783
"Area Music: Concourse, 20,000 Leagues Under the Sea",A Musical History of Disneyland,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.2, [2010] Day One Disneyland",,,01:19.167,,15,fade out at 01:15.667
"Autopia, ‘1955 Safety Spiel’ (unreleased)",Disneyland Forever,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.2, [2010] Day One Disneyland",,,01:17.754,,16,"note, no fade in beginning unlike DLF version; crossfade out at 01:17.216"
Adventureland,Walt Disney Takes You To Disneyland,,,,,"Main Street U.S.A. (Disneyana), Main Street U.S.A. (storefront)",,"Disneyana v.2, [2010] Day One Disneyland",,,07:12.314,"Walt Disney, Disneyland Concert Orchestra",17,edited 00:32.682 to 07:46.570
Steamboat WIllie,Disneyland Forever,,,,,Main Street U.S.A. (storefront),,[2011] Magic on the Water – The Art of The Happiest Fleet on Earth,"This loop played in the Disney Gallery on Main Street, U.S.A. for the exhibit “Magic on the Water — The Art of The Happiest Fleet on Earth”, on display from January - June 2011. The exhibit highlighted the watercraft of Disney parks and Cruise Line. Playlist compiled by wedroy1923 based on two live recordings by pixelated and C33. See MouseBits, https://forums.mousebits.com/threads/the-disney-gallery-music-2-0.7840/post-69938 (2013), https://forums.mousebits.com/threads/lotsa-new-audio-in-disney-galleryd-new-exhibit-1-29-11.6134/post-50019 (2011) andhttps://forums.mousebits.com/threads/the-disney-gallery-music-2-0.7840/post-69938 (2013).",~00:23:52,02:07,,1,
Away Rio,The Wind in the Rigging,,,,,Main Street U.S.A. (storefront),,[2011] Magic on the Water – The Art of The Happiest Fleet on Earth,,,02:15,,2,
Submarine Voyage Narration,A Musical History of Disneyland,,,,,Main Street U.S.A. (storefront),,[2011] Magic on the Water – The Art of The Happiest Fleet on Earth,,,00:29,,3,"Edited to include 00.00 to 00.12 and 01.33 to 1.50. pixelated provided the following transcription of the spiel from the Gallery exhibit loop:

<start of  album track - bosun's whistle & sonar ping SFX constantly playing in the background>
Capt.: ""Secure ship for sea.  Make all preparations for getting under way.""
Sailor: ""Aye-aye sir.  All hands at stations.""  Note: the album version is ""All hands to stations.""
<bosun's whistle>
Capt: ""This is the captain speaking, welcome aboard.  We are now under 
way and proceeding on a course that will take us on a voyage of 
exploration, through liquid space.  En route, we will pass below the 
polar ice cap, and then probe depths seldom seen by man.""
<music from the 20k Leagues movie soundtrack (part of title track?)>
<instrumental version of ""Whale of a Tale"">"
"20,000 Leagues Under the Sea",Disneyland Forever,,,,,Main Street U.S.A. (storefront),,[2011] Magic on the Water – The Art of The Happiest Fleet on Earth,,,02:21,,4,
Blow the Man Down,Disneyland Forever,,,,,Main Street U.S.A. (storefront),,[2011] Magic on the Water – The Art of The Happiest Fleet on Earth,,,02:11,,5,
Milenberg Joys,Goes South!,,,,,Main Street U.S.A. (storefront),,[2011] Magic on the Water – The Art of The Happiest Fleet on Earth,,,03:35,Firehouse Five Plus Two,6,
Drunken Sailor,Disneyland Forever,,,,,Main Street U.S.A. (storefront),,[2011] Magic on the Water – The Art of The Happiest Fleet on Earth,,,01:52,,7,
Chicken Picken’ Reel,Banjo Kings,,"Good Time Jazz, L-25",,,Main Street U.S.A. (storefront),,[2011] Magic on the Water – The Art of The Happiest Fleet on Earth,,,02:21,,8,
Submarine Voyage Narration (General Dynamics),,,,,,Main Street U.S.A. (storefront),,[2011] Magic on the Water – The Art of The Happiest Fleet on Earth,,,00:19,,9,"Transcription:
""This is the captain speaking.  General Dynamics, builders of America's atomic-powered submarines, welcomes you aboard.  We are now under way and proceeding on course, for a voyage through liquid space.  Destination: the North Pole.”"
Sailing Ship Columbia,A Musical History of Disneyland,,,,,Main Street U.S.A. (storefront),,[2011] Magic on the Water – The Art of The Happiest Fleet on Earth,,,00:21,,10,
Song of the Fishes,Disneyland Forever,,,,,Main Street U.S.A. (storefront),,[2011] Magic on the Water – The Art of The Happiest Fleet on Earth,,,01:40,,11,
Mark Twain Riverboat,A Musical History of Disneyland,,,,,Main Street U.S.A. (storefront),,[2011] Magic on the Water – The Art of The Happiest Fleet on Earth,,,00:45,,12,Edited to include 00.16 to 01.03
"Come Back, Sweet Pa",Dixieland Favorites,,,,,Main Street U.S.A. (storefront),,[2011] Magic on the Water – The Art of The Happiest Fleet on Earth,,,03:27,Firehouse Five Plus Two,13,Edited to include 00.01 to 00.02 and 00.00 to End
Walt Disney Welcome,Walt Disney and the 1964 World's Fair,3,,3,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,"This loop played in the Disney Gallery on Main Street, U.S.A. for the exhibit “The Colors of Mary Blair”, on display from May -November 2011. Tracklist compiled by RocketRodsXPRm, wedroy1923 and pixelated based on a live recording by pixelated. See MouseBits, https://mousebits.com/smf/index.php?topic=6428.msg51990#msg51990 (2011) and https://forums.mousebits.com/threads/the-disney-gallery-music-2-0.7840/post-69938 (2013).",00:51:02,9:14.009,Walt Disney,1,Next track fades in during last 3.566 seconds of silence
A Dream is a Wish Your Heart Makes,Cinderella Motion Picture Soundtrack,1,,2,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,,,3:11.129,,2,"Edited to include 1:22 to end; fades in at 1:21:540, next track overplays last 1.225 seconds of silence"
Lavender Blue (Dilly Dilly),"Walt Disney Records Archive Collection, Vol. 1 OR Classic Disney: 60 Years of Musical Magic",,,17,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,,,2:26.804,,3,next track overplays last 3.647 seconds of silence
I'm Late / All in the Golden Afternoon (Fantasyland Darkride Suite),A Musical History of Disneyland,3,,9,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,,,2:25.715,,4,Edited to include 10:02 to 12:26. Followed by 0.812 second of silence
Zip-A-Dee-Doo-Dah,Classic Disney: 60 Years Of Musical Magic (Vol. 1),,,21,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,,,2:04.580,,5,Edited to include 00:12 - end. next track overplays in during last 2.829 seconds of silence
it's a small world Entrance Music,Walt Disney and the 1964 World's Fair,3,,1,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,,,3:03.973,,6,Next track overplays last 3.566 seconds of silence
it's a small world Ride-Thru,Walt Disney and the 1964 World's Fair,,,,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,,,2:24,,7,"Edited to include three pieces: a) 06.09 to 06.57, b) 00.32 to 01.20, c) 05.20 to 06.09"
No Longer an Elephant / Dumbo's Sadness / A Visit in the Night / Baby Mine,Dumbo Motion Picture Soundtrack,1,,9,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,,,2:09.432,,9,"Edited to include 01”25 to End, next track overplays last 4.678 seconds of sustain/silence"
Main Title (The Second Start To The Right) / All This Has Happened Before,Peter Pan Motion Picture Soundtrack,1,,1,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,,,1:45.260,,10,"Edited to include 00:33 to End, next track overplays last 1.873 seconds of silence"
March of the Cards (Fantasyland Darkride Suite),A Musical History of Disneyland,3,,9,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,,,1:11.072,,11,"Original track 17:54:091, cuts in at 15:23:073, last 1:21:176 cut off or very fast fade out"
Main Title (Bella Notte )/ The Wag of a Dog's Tail,Lady and the Tramp Motion Picture Soundtrack,1,,1,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,,,2:04.840,,12,"Original track 2:03.500, next track overplays silence"
The Three Caballeros,,,,,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,,,2:06.994,,13,This is the song with vocals
Main Title,Alice in Wonderland OST,1,,1,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,,,2:32.314,,14,"Original track 2:34:906, played in its entirety"
it’s a small world,Walt Disney and the 1964 World's Fair OR The Sherman Brothers Songbook,3,,10,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,,,1:52.6664,,15,"Original track 21:24:547, and has a lot of edits. This arrangement uses first 32.479 seconds of the intro, then jumps to 51.337 seconds from the end. At 32.609 seconds from the original end, loops back to the 51.337 second mark for a second time through... then plays through the remainder of the track. Next track overplays final 3 seconds of silence. If you REALLY want an accurate version of the loop, replace the first three notes of the fade in with a matching portion that includes lyrics. During that initial fade-in, you can hear ""It's a w--"" of the verse before it cuts to a fully instrumental version.)"
Main Title (Cinderella),Cinderella Motion Picture Soundtrack,1,,1,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,,,1:38.143,,16,"Original track 2:51:656, last 1:13:258 cut off or fast fade out"
Where Did I Put That Thing / Bibbidi-Bobbidi-Boo,Cinderella OST,1,,7,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,,,0:51.264,,17,Edited to include 00:37 to 01:29. Next track overplays last 0:121 seconds of silence
Turn on the Old Music Box / The Nursery Theme / You Can Fly! You Can Fly! You Can Fly! (Fantasyland Darkride Suite),A Musical History of Disneyland,3,,9,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,,,02:58,,18,Edited to include 03:46 to 06:46
Saludos Amigos,Saludos Amigos: Music from the Motion Picture,,,,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,,,1:39.553,Chorus,19,
Walt Disney's Wonderful World of Color Theme,Walt Disney’s Wonderful World of Color,,,,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,,,1:45.197,,20,This is the same extended arrangement played at the DCA Blue Sky Cellar.
it's a small world Medley,Disneyland Park: The Official Album (2001),,,,,Main Street U.S.A. (storefront),,[2011] The Colors of Mary Blair,,,3:36,,8,Edited to include 00.08 to End
Loading the Train / Casey Junior / Stork on a Cloud / Straight from Heaven,Dumbo (Original Motion Picture Soundtrack),,,,,Main Street U.S.A. (storefront),,[2011-2012] All Aboard... A Grand Circle Tour of the Trains of Disney,"This loop played in the Disney Gallery on Main Street, U.S.A. as part of the “Trains of Disney” exhibit which ran from November 2011 - June 26, 2012. Tracklist compiled by wedroy1923 with assistance from pixelated and RocketRodsXPR and based on live recordings by wedroy1923 and pixelated. See MouseBits, https://forums.mousebits.com/threads/the-disney-gallery-music-2-0.7840/post-69938 (2013) and https://forums.mousebits.com/threads/the-disney-gallery.6886/post-58698 (2011).",~00:27:55,,,1,"Preceded by ""Hello folks. Welcome aboard the Disneyland Railroad. We're now on a grand circle tour of the Magic Kingdom."" (Disneyland Railroad, Ravenscroft narration)."
Railroad Medley: Wabash Cannonball / Jesse James / Jerry / Go 'Lie that Car,The West (Original Soundtrack),,,,,Main Street U.S.A. (storefront),,[2011-2012] All Aboard... A Grand Circle Tour of the Trains of Disney,,,,Matthias Gohl,2,"Preceded by ""We're now returning to the twentieth century and to Main Street Station, gateway to the Magic Kingdom. This is Main Street Station, Disneyland U.S.A."" (Disneyland Railroad, Ravenscroft narration) *Includes the ""Continental Morse Code"" in the background."
" Lonesome Railroad Blues",The Firehouse Five Plus Two Story,,,,,Main Street U.S.A. (storefront),,[2011-2012] All Aboard... A Grand Circle Tour of the Trains of Disney,,,,Firehouse Five Plus Two,3,"Preceded by ""This is New Orleans Square.  For those of you who are continuing on with us ..."" (Disneyland Railroad, Ravenscroft narration with Morse code)"
Mine Train Through Nature's Wonderland,A Musical History of Disneyland,,,,,Main Street U.S.A. (storefront),,[2011-2012] All Aboard... A Grand Circle Tour of the Trains of Disney,,,,,4,"Edited to include: 00.00 - 00.08, 00.12 - 00.20, 00.26 - 00.30, 07.10 - 07.45, 08.08 - 08.16"
"""Where Do Stories Come From?""","Disneyland Television Show, 1956",,,,,Main Street U.S.A. (storefront),,[2011-2012] All Aboard... A Grand Circle Tour of the Trains of Disney,,,,,5,
When the Golden Train Comes Down,,,,,,Main Street U.S.A. (storefront),,[2011-2012] All Aboard... A Grand Circle Tour of the Trains of Disney,,,,Roy Rogers and the Sons of the Pioneers,6,
Wabash Cannonball [1947],,,,,,Main Street U.S.A. (storefront),,[2011-2012] All Aboard... A Grand Circle Tour of the Trains of Disney,,,,Roy Acuff,7,"Preceded by ""Your attention please. The Disneyland Limited, now leaving for a grand circle tour of the Magic Kingdom.  All passengers ..."" (Disneyland Forever, Depot Announcement [1992])"
Casey Junior / Dumbo's Triumph (Casey Jr. Circus Train),,,,,,Main Street U.S.A. (storefront),,[2011-2012] All Aboard... A Grand Circle Tour of the Trains of Disney,,,,,8,"Preceded by ""I think I can, I think I can ..."" (Casey Jr. Circus Train)"
All Aboard the Mine Train (Big Thunder Mountain Railroad),A Musical History of Disneyland,,,,,Main Street U.S.A. (storefront),,[2011-2012] All Aboard... A Grand Circle Tour of the Trains of Disney,,,,,9,"Preceded by ""This here's the wildest ride in the wilderness!"" (Big Thunder Mountain Railroad safety spiel) *This is NOT the version found on the Disneyland Forever track but is rather from the current safety spiel."
